d7628c89122e8659c73070c56364fac3791cfa0c,taskName,raceSet,blackLabels,whiteLabels,taskNumber,taskURL,name,response,serial,declined,submitLatency,log_serial,trial_id,responseHandle,latency,stimuli,media,data,block3Cond,feedback,d,pristineLatency
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,6,6,left,612,"[[""White people""]]","[""wf1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,7,7,right,837,"[[""Black people""]]","[""bf2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,8,8,right,430,"[[""Black people""]]","[""bm1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,9,9,right,593,"[[""Black people""]]","[""bm2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,10,10,left,5180,"[[""White people""]]","[""wm1_nc.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,11,11,left,1183,"[[""White people""]]","[""wm3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,12,12,right,731,"[[""Black people""]]","[""bf3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,13,13,right,1012,"[[""Black people""]]","[""bf3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,14,14,left,537,"[[""White people""]]","[""wf3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,15,15,right,595,"[[""Black people""]]","[""bm3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,16,16,left,749,"[[""White people""]]","[""wm1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,17,17,right,617,"[[""Black people""]]","[""bm2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,18,18,right,957,"[[""Black people""]]","[""bm1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,19,19,left,569,"[[""White people""]]","[""wf1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,20,20,left,745,"[[""White people""]]","[""wf2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,instructions,,,,,21,21,space,2060,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,22,22,left,3307,"[""Bad""]","[""Disgust""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,23,23,right,813,"[""Good""]","[""Love""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,24,24,left,1513,"[""Bad""]","[""Annoy""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,25,25,right,771,"[""Good""]","[""Joyous""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,26,26,left,750,"[""Bad""]","[""Yucky""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,27,27,right,1296,"[""Good""]","[""Excellent""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,28,28,right,635,"[""Good""]","[""Fantastic""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,29,29,left,602,"[""Bad""]","[""Ugly""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,30,30,right,763,"[""Good""]","[""Joyful""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,31,31,left,786,"[""Bad""]","[""Detest""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,32,32,right,625,"[""Good""]","[""Happy""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,33,33,left,1004,"[""Bad""]","[""Sadness""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,34,34,left,720,"[""Bad""]","[""Hate""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,35,35,right,610,"[""Good""]","[""Adore""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,36,36,right,527,"[""Good""]","[""Celebrate""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,37,37,left,616,"[""Bad""]","[""Abuse""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,38,38,left,629,"[""Bad""]","[""Disgust""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,39,39,right,681,"[""Good""]","[""Adore""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,40,40,right,648,"[""Good""]","[""Celebrate""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,41,41,left,1205,"[""Bad""]","[""Detest""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad,Good"",""block"":2}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,instructions,,,,,42,42,space,1022,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,43,43,right,2928,"[[""Black people""]]","[""bf1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,44,44,right,1592,"[""Good""]","[""Happy""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,45,45,left,1231,"[[""White people""]]","[""wm3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,46,46,left,1114,"[""Bad""]","[""Hate""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,47,47,left,891,"[[""White people""]]","[""wm2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,48,48,left,1152,"[""Bad""]","[""Yucky""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,49,49,right,659,"[[""Black people""]]","[""bf2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,50,50,right,2005,"[""Good""]","[""Joyous""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,51,51,left,1275,"[[""White people""]]","[""wf1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,52,52,left,1055,"[""Bad""]","[""Ugly""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,53,53,right,743,"[[""Black people""]]","[""bf3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,54,54,right,1015,"[""Good""]","[""Excellent""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,55,55,left,932,"[[""White people""]]","[""wm2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,56,56,right,1492,"[""Good""]","[""Joyful""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,57,57,right,1255,"[[""Black people""]]","[""bm1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,58,58,left,1200,"[""Bad""]","[""Abuse""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,59,59,right,856,"[[""Black people""]]","[""bf2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,60,60,left,2289,"[""Bad""]","[""Sadness""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,61,61,left,1482,"[[""White people""]]","[""wf2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,62,62,right,1158,"[""Good""]","[""Fantastic""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":3}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,instructions,,,,,63,63,space,1624,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,64,64,right,1813,"[[""Black people""]]","[""bf1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,65,65,right,1936,"[""Good""]","[""Love""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,66,66,left,2949,"[[""White people""]]","[""wm1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,67,67,left,867,"[""Bad""]","[""Annoy""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,68,68,right,787,"[[""Black people""]]","[""bm3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,69,69,left,1037,"[""Bad""]","[""Annoy""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,70,70,left,1029,"[[""White people""]]","[""wm3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,71,71,right,1033,"[""Good""]","[""Celebrate""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,72,72,right,933,"[[""Black people""]]","[""bm2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,73,73,left,939,"[""Bad""]","[""Abuse""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,74,74,left,806,"[[""White people""]]","[""wf3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,75,75,right,2075,"[""Good""]","[""Adore""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,76,76,left,1106,"[[""White people""]]","[""wm2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,77,77,left,1946,"[""Bad""]","[""Sadness""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,78,78,right,1537,"[[""Black people""]]","[""bm3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,79,79,right,2043,"[""Good""]","[""Fantastic""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,80,80,right,1411,"[[""Black people""]]","[""bf2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,81,81,right,1157,"[""Good""]","[""Joyous""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,82,82,left,803,"[[""White people""]]","[""wf1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,83,83,left,2437,"[""Bad""]","[""Disgust""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,84,84,left,1085,"[[""White people""]]","[""wf2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,85,85,left,785,"[""Bad""]","[""Yucky""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,86,86,right,728,"[[""Black people""]]","[""bm2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,87,87,right,1110,"[""Good""]","[""Joyful""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,88,88,left,912,"[[""White people""]]","[""wm1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att1left,,,,,89,89,left,1780,"[""Bad""]","[""Hate""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,90,90,right,718,"[[""Black people""]]","[""bf1_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,91,91,right,1059,"[""Good""]","[""Excellent""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,92,92,right,916,"[[""Black people""]]","[""bf3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,att2right,,,,,93,93,right,695,"[""Good""]","[""Happy""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,94,94,left,707,"[[""White people""]]","[""wf3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people/Bad,Black people/Good"",""block"":4}",,,,
